N,P,K,temperature,humidity,ph,rainfall,label
138.13,49.65,38.12,25.29,80.05,6.8,65.49,cotton
93.94,15.58,46.02,30.92,81.69,5.67,31.8,watermelon
25.18,17.8,4.5,21.12,96.68,6.68,129.51,orange
117.29,23.1,29.19,23.5,56.83,6.71,187.63,coffee
40.3,67.27,79.75,17.36,11.23,7.09,98.29,chickpea
77.03,40.8,39.31,24.58,83.72,6.83,172.47,rice
12.42,40.35,26.09,31.33,54.89,7.13,51.26,mothbeans
16.83,16.71,4.65,22.74,81.89,6.37,103.55,orange
30.42,27.56,25.06,30.4,55.24,5.59,99.75,mango
113.23,29.63,32.77,22.22,69.51,6.48,99.17,coffee
21.28,41.13,21.93,27.48,48.64,6.41,29.8,mothbeans
36.85,56.31,20.9,31.48,62.7,6.93,76.06,blackgram
11.54,15.9,40.08,17.98,98.24,7.12,120.96,pomegranate
93.36,42.79,33.72,21.89,72.34,5.71,77.24,maize
23.84,42.8,18.08,30.07,42.78,7.27,47.21,mothbeans
127.12,38.25,57.25,23.13,80.15,7.26,45.54,cotton
55.11,48.18,51.73,32.63,90.43,7.22,124.67,papaya
23.01,59.77,18.7,23.28,46.03,6.16,173.75,pigeonpeas
20.63,47.34,12.92,27.56,52.06,6.84,72.24,mothbeans
17.32,63.77,22.71,18.34,20.36,5.84,124.92,kidneybeans
103.85,20.13,36.64,28.4,56.58,6.94,194.57,coffee
39.58,75.11,11.64,31.43,61.37,6.44,51.14,blackgram
19.22,73.15,11.85,26.33,68.61,6.68,43.93,lentil
19.27,13.16,36.64,26.98,91.9,5.84,195.04,coconut
90.85,42.93,37.71,23.91,80.46,6.97,126.74,rice
25.87,12.61,8.95,22.0,92.28,7.44,93.92,orange
95.13,20.54,41.59,27.84,91.96,6.35,51.96,muskmelon
86.02,13.5,43.21,24.17,80.11,6.78,41.6,watermelon
20.22,60.53,20.34,19.94,22.77,6.68,94.52,kidneybeans
94.05,15.02,56.78,28.63,90.63,6.02,53.57,watermelon
110.28,65.4,46.95,26.04,84.8,5.98,140.92,banana
28.21,77.12,20.12,26.41,48.21,6.09,197.0,pigeonpeas
15.98,56.94,19.78,28.57,43.16,6.08,55.77,mothbeans
85.39,73.98,44.25,26.58,76.19,6.28,72.9,banana
90.31,37.62,50.04,25.94,75.16,6.9,155.49,jute
99.3,44.78,34.16,23.98,85.58,7.64,82.68,cotton
18.17,21.48,47.58,20.07,84.78,6.04,120.77,pomegranate
21.35,59.73,22.09,26.73,45.35,5.69,229.15,pigeonpeas
50.47,64.05,85.28,16.81,17.45,7.59,70.75,chickpea
87.64,48.07,26.95,22.17,61.11,5.56,142.05,maize
19.16,15.11,24.12,27.98,94.7,5.15,204.79,coconut
14.74,14.57,42.89,20.59,80.36,5.27,80.32,pomegranate
70.38,42.78,36.74,22.43,82.93,6.81,186.43,rice
21.28,68.42,22.7,25.17,49.39,6.17,173.77,pigeonpeas
23.97,110.46,203.11,24.73,88.42,5.74,29.64,grapes
31.61,66.98,24.1,30.84,66.89,7.54,57.04,blackgram
27.74,14.36,23.18,28.71,92.34,6.06,203.07,coconut
39.29,64.56,86.37,17.29,15.77,7.34,113.93,chickpea
40.6,78.4,23.06,28.02,70.07,7.36,55.91,blackgram
23.36,19.14,20.82,26.46,100.0,6.02,118.89,coconut
91.28,52.79,44.9,23.77,68.44,6.8,107.23,maize
102.99,79.97,56.06,27.94,81.38,6.27,107.68,banana
20.36,46.8,17.55,27.47,61.02,6.99,30.81,mothbeans
102.21,78.26,52.7,27.04,83.87,6.27,108.34,banana
17.83,69.62,22.92,18.18,22.15,4.99,109.23,kidneybeans
23.08,19.2,50.08,21.49,88.76,5.11,68.51,pomegranate
27.99,59.8,75.7,21.69,14.44,7.56,69.23,chickpea
21.11,15.41,33.46,25.66,92.13,5.92,128.76,coconut
22.32,14.52,7.76,20.79,95.79,7.18,120.02,orange
35.3,58.31,13.71,28.02,58.18,6.03,166.17,pigeonpeas
94.01,77.0,49.05,26.91,77.81,6.13,68.7,banana
104.14,76.51,43.54,26.29,77.54,5.42,91.97,banana
14.43,131.84,210.74,16.43,90.56,5.59,144.62,apple
8.08,71.13,8.9,22.94,22.68,6.2,86.96,kidneybeans
95.85,22.19,51.12,30.57,93.98,6.38,21.1,muskmelon
10.81,54.85,18.59,28.03,83.2,6.84,34.59,mungbean
17.26,46.46,25.51,29.97,37.25,6.57,53.39,mothbeans
16.75,14.83,37.0,27.34,100.0,5.69,182.71,coconut
75.73,48.02,16.62,22.77,39.46,5.34,111.29,maize
26.46,146.69,210.43,20.36,93.98,6.0,96.69,apple
15.06,14.56,30.88,26.25,92.06,5.93,220.44,coconut
18.92,81.26,18.93,16.4,29.57,6.07,103.6,kidneybeans
25.62,51.12,28.64,29.5,50.36,6.36,57.31,mothbeans
19.8,44.35,14.21,31.82,73.3,7.02,41.04,mungbean
20.22,67.49,14.17,19.59,66.34,7.55,48.44,lentil
96.07,23.64,53.28,23.25,83.13,6.95,62.08,watermelon
22.44,48.08,5.27,27.19,85.75,6.56,51.71,mungbean
10.78,61.58,14.63,23.21,49.7,5.1,109.33,pigeonpeas
19.72,48.93,21.08,25.14,51.91,5.49,149.9,pigeonpeas
15.97,64.24,6.48,25.76,45.85,5.59,153.97,pigeonpeas
20.64,66.49,23.66,18.31,17.7,5.89,117.02,kidneybeans
71.89,37.24,47.31,18.93,67.73,6.25,96.31,maize
75.57,61.66,38.48,24.78,84.2,6.71,168.55,jute
39.44,57.33,68.23,19.7,6.59,7.38,70.44,chickpea
23.47,146.87,207.07,19.97,88.82,5.92,109.93,apple
18.49,13.8,6.02,19.36,92.58,6.88,82.49,orange
119.76,30.99,44.18,23.81,73.52,6.77,75.39,cotton
82.7,33.09,38.82,22.69,83.92,7.0,157.66,rice
25.93,13.82,22.84,24.69,95.78,5.76,195.75,coconut
30.87,136.93,226.92,23.68,79.26,6.7,59.59,grapes
12.09,71.8,18.73,26.59,68.64,5.71,52.54,lentil
92.06,18.54,49.53,24.38,98.39,5.88,62.5,watermelon
14.07,126.51,179.5,23.47,87.38,5.82,69.14,grapes
23.11,137.4,202.24,23.43,84.01,6.33,59.99,grapes
44.03,66.76,16.18,30.59,71.95,6.77,67.93,blackgram
20.98,21.38,52.5,24.02,87.03,5.5,74.79,pomegranate
49.59,66.64,62.92,19.85,19.22,7.42,99.63,chickpea
19.25,15.61,32.07,26.19,93.24,5.73,165.47,coconut
84.86,30.55,42.78,22.73,68.89,6.29,107.28,maize
28.87,77.18,17.83,26.49,75.24,7.7,60.24,lentil
20.61,126.67,179.82,22.86,87.89,6.04,56.68,grapes
91.56,19.45,36.85,26.55,84.88,6.31,48.21,watermelon
88.08,52.07,55.26,27.23,76.38,6.89,158.28,jute
94.96,32.0,20.45,26.66,49.26,6.41,168.97,coffee
98.33,25.85,29.99,24.97,62.83,6.89,180.13,coffee
22.35,85.18,23.2,22.95,22.73,5.77,112.63,kidneybeans
97.4,52.34,27.45,21.46,75.08,7.33,201.73,jute
17.09,51.66,22.84,27.64,56.58,6.84,46.83,mothbeans
10.77,63.36,22.08,17.82,24.53,6.16,107.54,kidneybeans
90.52,77.97,59.99,27.09,72.19,6.22,97.07,banana
18.89,74.97,16.55,17.03,22.56,5.1,100.2,kidneybeans
19.29,14.19,26.06,27.94,93.61,5.97,185.18,coconut
46.1,70.41,50.09,34.3,94.23,6.37,152.18,papaya
44.78,55.54,54.2,35.37,93.59,7.42,125.36,papaya
28.16,53.36,20.45,32.59,78.51,6.7,53.5,mungbean
17.9,30.46,21.86,29.65,50.63,5.98,93.05,mango
16.47,21.21,41.56,23.16,83.28,5.93,107.55,pomegranate
107.64,21.81,40.12,29.19,77.88,7.02,52.8,watermelon
15.92,59.29,26.33,22.74,18.04,6.19,103.26,kidneybeans
77.56,48.38,29.63,24.38,59.68,5.92,99.44,maize
18.72,148.24,191.5,26.23,97.91,5.43,124.64,apple
44.46,65.71,13.68,29.72,60.15,7.29,80.1,blackgram
39.94,69.36,76.3,19.99,20.73,7.49,74.78,chickpea
19.25,129.37,205.26,24.97,79.39,6.75,77.6,grapes
22.11,139.2,181.43,25.42,84.92,6.51,86.02,grapes
100.18,83.66,62.38,24.04,75.44,7.12,99.54,banana
131.8,44.53,39.3,25.85,75.08,6.89,62.28,cotton
73.29,42.5,49.24,24.22,70.54,6.65,202.88,rice
8.82,19.9,30.46,24.77,90.15,5.88,87.9,pomegranate
28.14,46.05,22.73,27.5,85.18,6.35,66.54,mungbean
111.47,82.58,69.95,26.27,89.86,5.94,131.72,banana
86.18,51.29,50.0,28.53,81.65,6.21,228.18,jute
15.98,52.09,19.85,26.22,85.06,6.1,47.2,mungbean
102.86,45.32,58.78,21.81,65.92,6.38,179.47,maize
29.28,74.16,64.85,18.65,23.3,7.5,83.41,chickpea
28.34,64.87,93.65,19.35,19.25,7.35,86.6,chickpea
25.78,70.59,73.92,19.73,17.19,7.6,103.51,chickpea
30.71,127.08,166.02,25.09,98.0,6.46,133.77,apple
75.28,43.68,45.62,23.28,85.8,6.61,221.2,rice
15.56,57.72,17.79,19.63,19.42,6.04,96.08,kidneybeans
42.15,57.16,58.62,32.15,95.8,6.45,123.86,papaya
100.28,22.87,31.4,25.39,55.36,7.07,189.83,coffee
31.27,61.06,19.37,28.11,62.92,6.61,70.57,blackgram
18.14,75.66,17.29,22.3,24.17,5.9,107.91,kidneybeans
26.96,27.1,35.97,31.31,59.52,5.38,94.84,mango
25.65,25.16,24.04,30.37,54.27,5.96,103.07,mango
14.47,22.25,22.99,26.31,88.72,5.51,175.4,coconut
50.86,61.69,52.97,35.19,92.23,6.37,139.39,papaya
21.7,156.18,199.12,25.28,89.61,5.7,113.25,apple
33.35,69.17,79.86,18.85,21.34,6.59,99.48,chickpea
22.6,12.31,42.8,21.04,91.74,5.74,143.58,pomegranate
39.24,64.26,74.97,19.4,17.78,7.55,82.64,chickpea
91.05,12.42,57.26,26.89,82.35,7.21,16.98,muskmelon
22.75,143.2,208.36,23.05,94.57,6.08,142.91,apple
95.58,17.43,45.83,27.61,100.0,6.57,29.5,muskmelon
110.36,22.35,53.21,26.99,96.16,6.69,51.03,muskmelon
19.24,30.55,23.97,28.42,52.45,5.36,73.0,mango
21.12,20.18,37.85,31.37,45.98,5.73,84.46,mango
79.12,49.52,44.48,23.93,83.05,7.0,93.2,cotton
20.48,22.19,25.11,27.1,95.85,5.45,155.92,coconut
13.64,17.76,25.26,19.37,88.76,5.89,92.46,pomegranate
85.83,53.86,49.42,23.88,90.72,6.72,233.12,rice
86.79,13.62,50.62,27.76,100.0,5.96,23.75,muskmelon
106.06,22.23,28.49,20.57,65.03,6.73,179.1,coffee
34.64,57.08,48.21,29.82,91.71,5.87,134.31,papaya
19.77,43.45,17.73,28.51,58.37,7.01,84.58,mothbeans
67.61,65.79,45.94,20.54,71.41,6.15,93.68,maize
26.32,36.13,38.28,30.18,44.28,6.31,105.88,mango
107.77,17.32,57.44,27.29,100.0,6.27,15.97,muskmelon
23.74,61.67,19.23,25.35,41.51,6.13,154.57,pigeonpeas
28.74,46.42,25.35,27.93,87.22,6.68,22.54,mungbean
98.15,25.89,30.76,25.62,68.38,6.8,124.43,coffee
20.98,132.72,190.59,22.85,84.06,6.07,108.37,grapes
22.61,18.03,32.02,29.48,96.89,5.62,155.76,coconut
119.74,37.76,43.67,25.54,80.48,7.45,41.8,cotton
22.86,57.16,21.79,29.18,51.92,6.06,146.12,pigeonpeas
85.81,39.55,38.64,21.44,84.15,6.07,226.62,rice
24.73,129.76,181.78,22.84,97.73,5.54,98.44,apple
13.75,18.46,31.57,17.9,82.7,5.47,142.93,pomegranate
97.49,13.32,24.57,30.12,55.72,6.23,159.76,coffee
42.31,65.98,79.66,18.24,14.29,7.51,138.28,chickpea
121.21,50.81,42.23,25.78,80.33,6.44,95.76,cotton
68.96,52.64,33.49,26.64,82.73,6.48,221.92,jute
20.99,19.93,24.01,31.8,58.83,5.86,86.77,mango
118.02,89.65,51.7,27.5,80.69,5.5,103.2,banana
45.66,48.98,46.74,32.53,94.92,6.54,111.31,papaya
17.88,134.18,207.2,24.47,94.49,5.75,128.74,apple
43.6,66.18,67.08,20.97,18.46,7.01,74.39,chickpea
57.48,33.39,33.74,18.36,77.18,6.04,191.96,rice
31.8,64.17,17.89,27.24,54.92,5.77,130.07,pigeonpeas
14.49,50.07,21.56,30.81,54.94,7.39,39.67,mothbeans
25.44,54.85,17.28,29.07,87.5,6.92,46.0,mungbean
83.84,38.85,46.19,27.78,81.97,6.87,137.06,jute
12.44,21.7,35.36,17.36,87.36,6.17,102.07,pomegranate
28.52,127.5,203.19,21.58,77.52,6.05,70.57,grapes
12.13,57.77,28.84,32.84,44.66,7.48,52.05,mothbeans
56.48,42.5,40.03,25.93,71.36,6.0,214.2,jute
72.98,44.58,45.51,19.98,70.07,6.23,52.7,maize
19.87,10.17,22.27,33.05,99.91,6.34,154.76,coconut
90.15,30.82,37.05,19.69,58.24,6.23,47.89,maize
32.68,71.26,83.1,14.54,17.63,7.71,95.54,chickpea
96.69,80.5,58.39,25.56,86.76,6.58,120.06,banana
81.6,48.61,33.23,23.67,81.87,6.66,166.67,rice
14.17,21.14,37.01,25.19,92.67,5.44,171.38,coconut
60.45,34.41,43.76,24.55,76.52,6.5,130.88,jute
22.22,30.81,32.35,30.65,45.59,6.24,101.99,mango
85.99,14.39,47.33,28.15,94.24,6.41,22.48,muskmelon
17.21,135.55,202.36,20.33,91.42,6.66,155.41,apple
90.34,81.09,50.82,26.39,88.37,5.71,132.83,banana
19.02,69.07,13.39,26.11,50.26,6.63,155.66,pigeonpeas
46.75,76.04,14.85,29.85,55.07,7.55,98.98,blackgram
24.73,14.28,5.57,20.11,93.09,6.71,133.99,orange
30.68,84.07,72.32,20.25,10.25,6.93,110.33,chickpea
98.61,17.53,48.08,23.95,82.26,6.61,41.71,watermelon
94.27,77.24,41.42,29.03,75.15,5.72,130.11,banana
31.25,122.9,209.09,13.37,94.67,5.05,102.5,apple
46.22,61.52,87.02,13.88,18.31,7.37,67.67,chickpea
109.64,33.17,30.97,24.49,55.5,6.97,200.91,coffee
19.15,67.11,23.68,24.28,43.95,6.11,146.0,pigeonpeas
17.75,16.07,7.56,25.55,95.41,6.9,86.4,orange
13.15,113.77,199.98,22.89,87.27,6.22,116.04,apple
22.54,14.59,20.91,25.84,96.81,5.72,165.18,coconut
42.76,59.71,56.71,31.45,91.94,6.68,110.22,papaya
79.29,14.41,53.29,22.94,87.05,6.28,50.61,watermelon
27.75,53.03,23.57,24.12,45.07,7.41,39.15,mothbeans
43.54,63.24,64.21,34.64,96.49,6.55,145.62,papaya
40.88,77.0,79.89,11.22,16.24,7.23,121.92,chickpea
18.67,14.92,39.1,17.98,100.0,6.53,115.83,pomegranate
46.55,68.76,86.28,20.61,13.78,6.58,110.87,chickpea
50.03,54.12,49.14,28.9,91.44,6.54,119.66,papaya
24.59,67.51,17.11,21.12,64.1,6.68,33.87,lentil
23.84,145.26,182.07,21.62,96.88,5.44,132.3,apple
21.11,13.98,33.1,24.57,91.77,5.88,125.04,pomegranate
37.91,74.72,81.9,17.69,22.46,7.21,44.39,chickpea
10.89,32.67,20.38,31.57,44.94,5.23,99.77,mango
41.03,87.1,71.2,17.69,24.19,7.78,66.08,chickpea
14.33,20.33,34.15,23.28,84.87,6.02,110.32,pomegranate
95.65,10.27,55.89,22.53,83.91,6.76,61.07,watermelon
16.98,52.26,10.42,17.48,16.75,5.74,81.22,kidneybeans
14.28,49.84,21.95,33.94,82.89,6.59,39.36,mungbean
105.6,18.76,54.22,27.98,90.91,6.07,20.6,muskmelon
92.37,14.18,53.32,24.94,82.96,6.47,70.13,watermelon
16.28,66.56,25.83,17.93,21.66,6.07,57.37,kidneybeans
119.74,17.03,43.4,27.9,90.69,6.67,25.27,muskmelon
23.0,37.24,33.37,29.88,56.64,5.55,98.27,mango
79.02,36.61,39.36,19.63,74.76,5.84,160.11,rice
34.65,69.05,10.64,31.4,60.28,7.25,60.18,blackgram
24.18,65.91,80.45,14.14,16.86,7.32,36.88,chickpea
87.86,84.71,51.27,28.92,79.33,6.32,101.56,banana
41.89,76.25,11.07,30.06,59.49,7.3,79.66,blackgram
19.7,63.47,20.76,28.1,61.37,6.38,178.28,pigeonpeas
62.43,56.62,44.24,30.75,90.65,6.47,124.57,papaya
21.28,70.48,30.38,25.31,54.15,6.08,101.87,pigeonpeas
9.72,49.85,21.6,28.6,80.26,6.74,26.03,mungbean
25.61,13.62,30.01,28.35,98.45,6.16,177.25,coconut
124.13,56.96,35.25,24.49,70.47,6.31,70.4,cotton
17.49,139.67,191.41,21.63,81.07,6.56,73.26,grapes
17.87,134.64,175.53,15.04,95.33,5.65,107.77,apple
13.49,61.42,12.14,26.33,69.27,7.62,37.77,lentil
92.7,79.48,43.15,30.26,80.09,6.07,95.34,banana
79.07,40.86,36.56,28.07,78.98,6.56,169.75,jute
18.35,126.42,179.7,22.31,86.38,5.61,94.83,apple
16.39,18.99,45.24,23.1,92.76,5.88,94.83,pomegranate
23.61,132.43,200.58,23.74,95.09,5.58,143.69,apple
26.54,49.05,20.33,27.51,85.39,6.84,58.74,mungbean
89.94,16.74,50.84,28.5,95.75,6.83,26.95,muskmelon
85.81,33.74,33.44,23.93,60.45,7.3,193.16,coffee
104.17,22.81,31.3,28.46,59.02,6.22,133.6,coffee
22.9,72.85,16.68,24.91,45.59,5.75,172.59,pigeonpeas
76.77,48.02,51.19,21.8,84.38,5.7,216.81,jute
26.46,81.23,15.67,20.03,22.05,5.76,92.01,kidneybeans
87.87,87.01,43.44,29.2,73.54,6.05,128.0,banana
81.9,52.0,50.26,18.76,49.27,6.7,129.69,maize
79.31,37.95,47.89,25.29,77.11,6.6,146.01,jute
90.22,38.63,51.72,21.28,61.57,6.65,100.78,maize
26.92,72.13,28.14,26.88,63.34,5.81,126.01,pigeonpeas
14.1,24.95,34.0,31.96,52.76,6.9,107.28,mango
19.43,66.59,23.53,19.85,17.44,5.74,106.35,kidneybeans
27.25,22.76,44.94,20.38,89.79,5.83,124.53,pomegranate
104.98,15.6,61.41,25.81,86.31,6.55,71.88,watermelon
42.15,58.51,14.59,31.27,71.32,6.71,78.06,blackgram
93.2,43.81,31.8,21.36,66.52,6.1,85.55,maize
75.51,43.62,27.47,24.27,79.31,7.07,104.23,rice
20.5,57.71,25.14,29.26,54.69,7.0,39.96,mothbeans
18.8,69.92,27.83,21.02,14.91,5.98,129.66,kidneybeans
20.04,19.23,30.73,32.85,45.16,5.56,104.09,mango
125.04,43.84,38.14,22.91,79.0,7.24,72.24,cotton
50.45,63.03,49.77,33.83,95.46,6.69,69.4,papaya
23.89,47.03,22.41,27.66,44.7,6.86,55.44,mothbeans
123.17,43.09,40.66,24.07,74.67,6.01,85.3,cotton
19.99,61.26,10.19,28.53,92.06,6.11,38.34,mungbean
24.85,12.81,7.82,21.02,89.37,6.44,107.24,orange
78.17,43.61,40.93,24.17,86.02,7.45,218.49,jute
56.24,69.44,21.4,27.32,65.99,7.3,64.21,blackgram
22.06,49.67,18.73,31.17,82.92,7.09,56.08,mungbean
108.11,30.06,25.69,26.87,54.81,6.49,173.61,coffee
106.62,78.31,51.92,26.29,84.3,5.47,88.53,banana
19.99,49.12,21.79,30.89,58.46,6.73,118.41,pigeonpeas
42.99,60.26,51.58,30.46,88.51,6.38,138.48,papaya
20.45,139.16,195.99,19.0,96.12,6.09,92.18,apple
21.12,14.86,22.5,17.75,89.69,6.03,151.09,pomegranate
75.05,28.73,41.46,18.88,71.77,6.96,80.08,maize
15.11,33.47,27.38,30.95,53.37,5.56,106.36,mango
26.29,13.08,33.0,30.73,90.45,6.65,186.57,coconut
12.71,118.63,193.15,18.04,90.61,6.47,85.43,apple
14.18,61.33,12.34,26.39,66.74,6.93,14.89,lentil
82.75,51.53,40.25,24.88,90.32,7.18,200.01,jute
12.18,51.85,28.09,28.87,51.68,7.13,53.56,mothbeans
24.66,67.1,18.75,23.82,69.7,7.52,50.42,lentil
22.09,19.22,33.31,29.2,92.05,5.83,212.45,coconut
35.49,73.27,18.06,28.01,66.39,7.17,82.02,blackgram
85.14,46.89,46.89,23.78,90.67,5.94,127.45,jute
14.01,40.26,20.67,24.68,85.81,6.29,49.52,mungbean
113.44,27.08,42.44,27.42,82.67,6.69,86.92,cotton
90.37,17.52,67.98,23.08,81.38,6.49,40.83,watermelon
25.59,128.47,201.61,17.35,89.72,6.2,98.67,apple
33.91,132.96,227.35,24.41,83.23,5.88,86.97,grapes
29.72,14.85,41.17,25.98,89.95,5.73,167.53,coconut
20.61,143.59,194.11,25.26,82.9,6.3,71.98,grapes
89.75,11.96,49.56,26.62,76.94,6.21,57.87,watermelon
83.29,42.9,50.57,22.31,74.62,7.03,186.74,rice
20.59,30.5,43.62,30.96,56.69,5.47,61.5,mango
24.37,26.64,36.38,30.61,49.85,5.57,94.86,mango
95.19,26.64,18.09,22.71,63.69,7.28,201.18,coffee
19.05,23.5,46.44,22.13,96.36,4.83,101.74,pomegranate
86.53,79.69,49.44,25.41,80.39,5.83,126.81,banana
27.48,115.58,175.97,26.87,82.51,6.04,49.87,grapes
97.45,50.49,49.98,24.58,81.73,7.19,202.15,jute
18.46,15.06,13.26,26.62,97.63,6.95,109.01,orange
124.71,47.52,42.16,27.7,77.73,7.4,87.87,cotton
14.15,22.87,31.12,26.94,49.92,5.92,89.34,mango
54.4,42.33,61.13,32.59,96.98,5.89,149.41,papaya
96.19,19.42,66.13,25.84,91.4,6.21,16.3,muskmelon
19.17,36.33,28.5,26.55,60.8,6.79,41.52,mothbeans
95.43,51.27,34.65,22.55,77.42,6.57,236.47,jute
39.33,64.48,56.36,14.26,21.48,7.03,87.21,chickpea
17.5,46.84,18.69,25.55,52.7,6.54,39.88,mothbeans
16.5,4.69,18.56,24.82,96.15,6.94,108.56,pomegranate
111.66,14.78,52.97,26.46,78.16,7.05,48.99,watermelon
20.51,50.82,25.34,27.39,49.84,6.8,68.23,mothbeans
101.18,45.13,55.91,20.58,79.88,6.88,86.18,cotton
64.06,58.22,50.44,32.98,98.18,6.7,126.79,papaya
108.33,13.51,40.76,18.61,84.65,6.17,55.77,watermelon
26.63,54.82,20.47,26.53,49.13,7.19,36.0,mothbeans
72.75,57.03,33.43,24.68,77.49,6.97,215.4,rice
23.37,25.58,21.38,25.36,92.98,6.7,228.94,coconut
14.92,42.23,10.94,27.04,50.63,6.7,67.62,mothbeans
26.09,42.63,25.75,27.86,46.68,6.66,71.74,mothbeans
94.99,35.22,46.03,20.17,60.3,6.94,86.44,maize
84.14,52.93,23.49,21.82,84.95,5.71,259.04,rice
74.13,43.33,36.58,16.7,55.35,5.29,43.76,maize
18.81,16.9,31.11,26.56,95.48,5.45,195.45,coconut
